Name,Type,Description,Location
William Howard Taft,National Historic Site," High atop one of Cincinnati's most prominent hilltops stands the two-story Greek Revival house where William Howard Taft was born and grew up. Hard work, a good education, and an interest in civic duty are attributes that made the Taft family outstanding leaders over the years. The environment that shaped Taft's character and philosophy  is highlighted  on a visit to the site. ","Cincinnati, OH"
Chickasaw,National Recreation Area," Springs, streams, lakes- whatever its form, water is the attraction at Chickasaw National Recreation Area. Little Niagara and Rock Creek beckon waders and swimmers. Relax in the coolness of shaded streams or take a dip in a swimming hole. Veterans Lake calls anglers to test their skills. Lake of the Arbuckles provides excellent motorboating, skiing, fishing and swimming. ","Sulphur, OK"
Fort Smith,National Historic Site," From the establishment of the first Fort Smith on December 25, 1817, to the final days of Judge Isaac C. Parker's jurisdiction over Indian Territory in 1896, Fort Smith National Historic Site preserves almost 80 years of history. Explore life on the edge of Indian Territory through the stories of soldiers, the Trail of Tears, dangerous outlaws, and the brave lawmen who pursued them. ","Fort Smith, AR,OK"
Oklahoma City,National Memorial," The outdoor symbolic memorial is a place of quiet reflection, honoring victims, survivors, rescuers and all who were changed forever on April 19, 1995. It encompasses the now sacred soil where the Alfred P. Murrah Federal Building once stood, capturing and preserving forever the place and events that changed the world. ","Oklahoma City, OK"
Santa Fe,National Historic Trail," You can almost hear the whoops and cries of ""All's set!"" as trail hands hitched their oxen to freight wagons carrying cargo between western Missouri and Santa Fe, New Mexico. Follow the Santa Fe National Historic Trail through five states and you'll find adventure and evidence of past travelers who made this remarkable trip before you! ","CO,KS,MO,NM,OK"
Trail Of Tears,National Historic Trail," Remember and commemorate the survival of the Cherokee people, forcefully removed from their homelands in Georgia, Alabama, and Tennessee to live in Indian Territory, now Oklahoma. They traveled by foot, horse, wagon, or steamboat in 1838-1839. ","AL,AR,GA,IL,KY,MO,NC,OK,TN"
Washita Battlefield,National Historic Site," On November 27, 1868, Lt. Colonel George Armstrong Custer led the 7th U.S. Cavalry on a surprise dawn attack on a Cheyenne village led by Peace Chief Black Kettle. The event was an example of the tragic clash of cultures that occurred during the Great Plains Wars. It is also a place of remembrance and reflection for those who died here. ","Cheyenne, OK"
California,National Historic Trail," Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons. ","Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
Crater Lake,National Park," Crater Lake inspires awe. Native Americans witnessed its formation 7,700 years ago, when a violent eruption triggered the collapse of a tall peak. Scientists marvel at its purity: fed by rain and snow, it’s the deepest lake in the USA and perhaps the most pristine on earth. Artists, photographers, and sightseers gaze in wonder at its blue water and stunning setting atop the Cascade Mountain Range. ","Crater Lake, OR"
Fort Vancouver,National Historic Site," Located on the north bank of the Columbia River, in sight of snowy mountain peaks and a vibrant urban landscape, this park has a rich cultural past. From a frontier fur trading post, to a powerful military legacy, the magic of flight, and the origin of the American Pacific Northwest, history is shared at four unique sites. Discover stories of transition, settlement, conflict, and community. ","Vancouver, OR,WA"
Ice Age Floods,National Geologic Trail," ""At the end of the last Ice Age, some 12,000 to 17,000 years ago, a series of cataclysmic floods occurred in what is now the northwest region of the United States, leaving a lasting mark of dramatic and distinguishing features on the landscape of parts of the States of Montana, Idaho, Washington and Oregon."" Public Law 111-11, March 30, 2009 ","WA,OR,ID,MT"
John Day Fossil Beds,National Monument," Colorful rock formations at John Day Fossil Beds preserve a world class record of plant and animal evolution, changing climate, and past ecosystems that span over 40 million years.  Exhibits and a working lab at the Thomas Condon Paleontology and Visitor Center as well as scenic drives and hikes at all three units allow visitors to explore the prehistoric past of Oregon and see science in action. ","Kimberly, OR"
Lewis & Clark,National Historic Trail," Between May 1804 and September 1806, 31 men, one woman, and a baby traveled from the plains of the Midwest to the shores of the Pacific Ocean. They called themselves the Corps of Discovery. In their search for a water route to the Pacific Ocean, they opened a window into the west for the young United States. Read the Lewis and Clark Pups blog, the Newfie News! ","Eleven States: ID,IL,IA,KS,MO,MT,NE,ND,OR,SD,WA"
Lewis and Clark,National Historical Park, Explore the timeless rainforests and majestic coastal vistas. Discover the rich heritage of the native people. Unfold the dramatic stories of America's most famous explorers. The park encompasses sites along the Columbia River and the Pacific Coast. Follow in the footsteps of the explorers and have an adventure in history. ,"Long Beach to Cannon Beach, OR,WA"
